datum;locatie;eenheid;parameterid;afronding;analyse;compartiment;veldapparaat;grootheid;confertaxon;biotaxonnaam;parameter;eenheidequivalent;eenheidreferentie;parameterfractie;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;waardebewerkingsmethode;analyseprotocol;bemonsteringsprotocol;analist;monsterident;bemonsteringssoort;planvanaanpak;externereferentie;xcoormonster;ycoormonster;monsternemer;bron;kwaliteitsoordeel;opmerkingmeting;meetwaarde;limietsymbool
2020-03-10 10:42:00;PMW024;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;11;
2020-03-10 10:42:00;PMW024;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;10.69;
2020-03-10 10:42:00;PMW024;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;8.5;
2020-03-10 10:42:00;PMW024;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;8.5;
2020-03-10 10:42:00;PMW024;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;0.6;
2020-03-10 10:42:00;PMW024;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;0.6;
2020-03-10 10:42:00;PMW024;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.9;
2020-03-10 10:42:00;PMW024;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.9;
2020-03-10 10:42:00;PMW024;ug/l;FEOa_ug/l;Ja;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;10;
2020-03-10 10:42:00;PMW024;ug/l;FEOa_ug/l;Nee;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;9.62;
2020-03-10 10:42:00;PMW024;ug/l;CHLFa_ug/l_spectro;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;28;
2020-03-10 10:42:00;PMW024;ug/l;CHLFa_ug/l_spectro;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP580302;SB;;580302;135010;462569;WP;FC20200716102453_580302.txt;0;;28.37;
2020-03-10 11:07:00;PMW077;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;4;
2020-03-10 11:07:00;PMW077;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;3.99;
2020-03-10 11:07:00;PMW077;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP580303;SB;;580303;135186;462296;WP;FC20200322210202_580303.txt;0;;8.3;
